#{"t_start": 1669489949.0932534, "env_id": null}
r,l,t
-10.797619,4,32.788807
-10.0,1,32.79615
-12.866667,50,35.090442
-12.914286,13,35.183928
-13.578571,16,35.305171
-10.0,1,35.312563
-11.8,8,35.370641
-14.314286,29,35.579274
-12.345238,16,35.69495
-10.404762,2,35.709643
-10.0,1,35.716945
-10.0,1,35.718441
-10.635714,3,35.740243
-16.754762,37,35.999387
-10.0,1,36.012315
-11.602381,7,36.06304
-11.552381,6,36.112061
-13.07619,17,36.240015
-10.716667,4,36.268903
-10.0,1,36.270388
-11.7,8,36.32838
-10.87381,4,36.345892
-10.0,1,36.353226
-10.778571,4,36.381865
-12.795238,50,36.752354
-10.280952,2,36.766736
-14.371429,26,36.954741
-10.761905,4,36.989496
-13.261905,50,37.356422
-15.292857,50,37.724703
-13.019048,27,37.919031
-13.347619,13,37.966922
-11.102381,5,38.003906
-13.32619,50,38.369693
-15.104762,19,38.510697
-10.0,1,38.51794
-17.028571,40,38.802749
-10.0,1,38.804334
-10.0,1,38.811604
-10.795238,4,38.846043
-10.330952,2,38.866142
-12.280952,9,38.93532
-10.378571,2,38.955372
-10.438095,2,38.975519
-12.245238,19,39.111518
-14.340476,24,39.243433
-13.559524,17,39.342851
-16.754762,40,39.617754
-12.835714,21,39.75085
-16.678571,38,40.005245
-11.254762,4,40.033908
-15.111905,17,40.138562
-10.995238,4,40.150045
-10.0,1,40.151548
-13.978571,50,40.44674
-10.619048,4,40.475311
-13.252381,12,40.560687
-10.75,4,40.594825
-11.659524,9,40.647758
-10.621429,3,40.675298
-10.0,1,40.676804
-10.0,1,40.684088
-10.233333,2,40.698226
-17.778571,45,41.00856
-10.0,1,41.01587
-14.561905,24,41.181484
-11.680952,10,41.247422
-10.511905,3,41.268882
-11.602381,8,41.320787
-10.67619,3,41.348069
-10.0,1,41.355271
-12.654762,19,41.491048
-10.0,1,41.492555
-11.709524,50,41.855057
-10.390476,2,41.85809
-19.32381,41,42.105266
-10.388095,2,42.113991
-14.033333,50,42.476799
-11.254762,7,42.526918
-12.871429,50,42.883908
-11.759524,10,42.95524
-13.152381,14,43.044519
-15.454762,50,43.406879
-13.592857,30,43.620843
-14.092857,23,43.790669
-13.195238,20,43.935922
-10.871429,3,43.946091
-14.47381,18,44.052147
-14.761905,28,44.251946
-11.290476,6,44.300359
-12.57619,15,44.413131
-14.816667,40,44.698092
-14.511905,32,44.926542
-10.0,1,44.933804
-13.045238,15,45.040917
-14.052381,16,45.127063
-10.0,1,45.134337
-10.345238,2,45.148602
-11.359524,5,45.178868
-11.638095,14,45.278805
-10.245238,2,45.293071
-17.728571,40,45.561665
-10.809524,6,45.610296
-10.247619,2,45.624592
-10.0,1,45.626092
-10.361905,2,45.634933
-12.604762,11,45.719436
-11.488095,6,45.751353
-10.0,1,45.7586
-12.588095,12,45.850234
-10.0,1,45.862936
-11.047619,4,45.891739
-10.466667,2,45.905908
-10.0,1,45.913151
-10.0,1,45.920422
-10.77381,3,45.941893
-17.680952,36,46.170873
-17.061905,48,46.513672
-17.607143,45,46.82451
-11.061905,5,46.860574
-14.609524,23,47.024688
-12.259524,12,47.119913
-2.154762,47,47.44392
-14.730952,29,47.656763
-10.316667,2,47.670928
-10.0,1,47.672452
-10.0,1,47.685333
-10.0,1,47.686944
-10.57381,3,47.714039
-10.0,1,47.72129
-10.845238,3,47.748149
-12.72619,50,48.110772
-16.807143,31,48.298891
-15.302381,28,48.504174
-15.369048,27,48.695659
-10.0,1,48.708539
-12.219048,7,48.758533
-13.62619,20,48.896029
-13.557143,17,49.012345
-10.0,1,49.013848
-15.488095,50,51.298696
-12.67619,50,51.641247
-10.62619,50,51.993523
-12.12381,50,52.352187
-13.019048,16,52.465536
-10.0,1,52.472523
-17.885714,35,52.704377
-10.252381,2,52.718214
-10.478571,2,52.738057
-10.292857,2,52.757911
-15.416667,50,53.039943
-10.0,1,53.052555
-12.380952,50,53.389845
-11.87381,10,53.44965
-14.121429,22,53.582887
-10.6,5,53.623809
-10.914286,4,53.641002
-10.285714,2,53.6552
-12.214286,50,53.99774
-11.15,50,54.355454
-10.390476,2,54.375293
-12.247619,10,54.445908
-13.221429,50,54.805583
-13.892857,25,54.966595
