#{"t_start": 1668888091.39069, "env_id": null}
r,l,t
-10.0,13,83.22324
-10.0,2,83.241059
-10.0,3,8-10.0,15,8-10.0,2,83-10-5,20,83.44607
-5,20,83.516431
-5,20,83.70439
-5,20,83.901252
-10.0,2,83.917375
-10.0,7,83.981-5,20-5,20,84.18-5,20,84.29143
-5,20,84.484361
-5,20,84.676303
-5,20,84.868721
-10.0,6,84.928548
-5,20,85.129021
-10.0,7,85.187329
-10.0,4,85.22-5,20,-5,20,85.4-5,20,8-10.0,9,85-10.0,7,8-10.0,15,8-10.0,15,815.0,6,85.724205
-10.0,1,85.-10.0,1-10.0,14,85.8-10.0,1-5,20,86.042134
-10.0,3,86.066558
-10.0,3,86.093-10.0-5,20,86.27887-5,20,86.354314
-10.0,2,86.369863
-5,20,86.563584
-10.0,8,-5,20,86.63-10.0,12.0,9,86.725-10.0-5,20,86.91901-5,-10.0,6,86.975122
-5,20,87.18471
-10.0,8,87.254138
-10.0,11,87.36-5,20,-5,20,87.55-5,20,-10.0,5,87.-10.0,7,87.659993
-5,20,87.864025
-10.0,6,87.921608
-10.0,2,87.939157
10.0,11,88.050565
-10.0,11,88.151273
-5,20,88.359957
-10.0,3,88.392192
-10.0-10.0,17,88.527636
-10.0,5,88.574-5,20,88.735737
19.0,2,88.758047
-5,20,88.962929
-5,20,89.152442
-5,20,89.343387
-5,20,89.543339
-5,20,89.737265
-5,20,89.94193
-10.0,10,90.031576
-5,20,90.223987
-5,20,90.424381
-5,20,90.614042
-5,20,90.819454
-10.0,13,90.952468
-5,20,91.151733
-10.0,17,91.307552
-10.0,1,91.315969
-10.0,3,91.354203
-10.0,20,91.544786
-5,20,91.744902
15.0,6,91.806686
-5,20,92.004119
-10.0,15,92.145886
-10.0,2,92.163049
-10.0,4,92.200981
-10.0,2,92.220109
-10.0,1,92.229461
-5,20,92.427404
-5,20,92.626251
-5,20,92.820683
-10.0,17,92.985958
-5,20,93.183504
-10.0,2,93.201098
-10.0,19,93.381277
-10.0,15,93.522945
-5,20,93.721566
-10.0,8,93.791991
19.0,2,93.818125
-10.0,5,93.86095
-5,20,94.064129
-5,20,94.262693
-5,20,94.461054
-10.0,1,94.467646
-10.0,3,94.50138
-5,20,94.696457
-10.0,16,94.839096
-5,20,95.04568
-5,20,95.24856
-5,20,95.452141
-10.0,9,95.537872
15.0,6,95.606258
17.0,4,95.649541
-10.0,16,95.792711
-10.0,10,95.893453
-10.0,10,95.982455
-5,20,96.185414
