#{"t_start": 1669216680.5227418, "env_id": null}
r,l,t
-10.0,7,43.357296
-10.0,16,43.450255
18.0,3,43.473465
-10.0,3,43.491121
-10.0,4,43.516527
3.0,18,43.627588
14.0,7,43.674146
-10.0,1,43.680095
-10.0,15,43.768152
6.0,15,43.861498
20.0,1,43.872997
-10.0,2,43.884737
-5,20,44.007194
-10.0,16,44.100912
-10.0,12,44.170731
-10.0,10,44.229726
-5,20,44.352819
-10.0,1,44.358736
-10.0,12,44.42849
-10.0,9,44.480897
18.0,3,44.504046
-10.0,9,44.556898
18.0,3,44.580245
-10.0,2,44.591909
-5,20,44.714485
-10.0,12,44.784432
-10.0,12,44.854346
-10.0,14,44.935679
-10.0,11,44.999595
-10.0,5,45.029008
-10.0,3,45.04656
-10.0,17,45.145883
-10.0,6,45.181113
-10.0,3,45.198603
-10.0,12,45.268867
5.0,16,45.367867
-5,20,45.48982
-5,20,45.61251
-10.0,2,45.624383
-10.0,3,45.641954
-10.0,1,45.647847
16.0,5,45.682808
-10.0,15,45.770318
-5,20,45.892083
-10.0,17,45.991203
-10.0,1,45.997115
-10.0,1,46.002977
-10.0,4,46.02651
-10.0,3,46.044321
-10.0,1,46.050179
-10.0,3,46.067666
-10.0,5,46.096857
-10.0,8,46.143467
-10.0,9,46.196201
-10.0,1,46.202036
14.0,7,46.248752
-10.0,4,46.27228
-10.0,9,46.324971
-10.0,3,46.342536
-10.0,4,46.366119
-5,20,46.488317
-10.0,10,46.547081
-10.0,2,46.558822
8.0,13,46.63994
-10.0,19,46.751087
-5,20,46.873702
-5,20,46.996159
-10.0,1,47.002073
-5,20,47.124212
-10.0,15,47.211764
-10.0,7,47.25307
-10.0,13,47.329389
-10.0,5,47.358807
-10.0,3,47.376485
-10.0,3,47.394074
-10.0,2,47.4068
-10.0,19,47.517888
-5,20,47.640566
-5,20,47.76306
-10.0,13,47.839166
-5,20,47.961575
-10.0,10,48.020478
9.0,12,48.097522
-10.0,1,48.103471
-5,20,48.226041
-10.0,12,48.2961
-10.0,13,48.371864
-10.0,4,48.395396
-10.0,5,48.42453
17.0,4,48.453525
-10.0,4,48.477015
-10.0,5,48.506263
-10.0,1,48.512146
-10.0,12,48.58248
-10.0,3,48.6
-10.0,2,48.611673
-5,20,48.737869
20.0,1,48.749443
20.0,1,48.761024
-10.0,3,48.778743
-10.0,6,48.813729
-10.0,8,48.860216
-5,20,48.98193
-5,20,49.104608
-5,20,49.22747
-5,20,49.349401
-10.0,1,49.35535
-10.0,10,49.413569
-10.0,2,49.425245
-10.0,2,49.436924
-10.0,3,49.454461
6.0,15,49.547943
-10.0,3,49.565565
-10.0,8,49.612564
-10.0,1,49.618454
-10.0,15,49.706139
-10.0,1,49.712038
16.0,5,49.746891
-10.0,11,49.814841
-10.0,13,49.890619
-10.0,1,49.896485
-5,20,50.018907
-10.0,15,50.10635
-10.0,5,50.135451
-10.0,12,50.205756
-10.0,5,50.23503
-10.0,8,50.281991
-5,20,50.405046
