#{"t_start": 1669379028.0724063, "env_id": null}
r,l,t
-5,20,23.504853
-10.0,9,23.506619
-5,20,23.510396
-5,20,23.514167
-10.0,4,23.535712
-10.0,16,23.619289
-5,20,23.623322
-5,20,23.627107
-5,20,23.630877
-5,20,23.634656
-10.0,8,23.636238
-5,20,23.640013
-5,20,23.643793
-5,20,23.647577
-5,20,23.651373
-10.0,12,23.654433
-5,20,23.658246
-5,20,23.687873
-5,20,23.691854
-5,20,23.695655
-5,20,23.699454
-5,20,23.703246
-5,20,23.707047
-5,20,23.710845
-10.0,10,23.712797
-5,20,23.716585
-5,20,23.720381
-10.0,7,23.721927
-5,20,23.72572
-5,20,23.729505
-5,20,23.733275
-10.0,14,23.73595
-5,20,23.739731
-5,20,23.743517
-5,20,23.747311
-5,20,23.856698
-5,20,23.860666
-5,20,23.864453
-10.0,1,23.864743
-5,20,23.868702
-5,20,23.872498
-5,20,23.876265
-5,20,23.880036
-5,20,23.883808
-10.0,11,23.885944
-5,20,23.889718
-5,20,23.893476
-5,20,23.897237
-10.0,19,23.90084
-5,20,23.920141
-10.0,10,23.922262
-5,20,23.926068
-5,20,23.929881
-5,20,23.933675
-5,20,23.937455
-10.0,1,23.942892
-5,20,23.946774
-5,20,24.00644
-5,20,24.010283
-5,20,24.014091
-5,20,24.01788
-5,20,24.021654
-5,20,24.025429
-5,20,24.101478
-5,20,24.105382
-5,20,24.215845
-10.0,18,24.224626
-10.0,1,24.229914
-10.0,3,24.230636
-5,20,24.234443
-5,20,24.238385
-5,20,24.242172
-5,20,24.245953
-5,20,24.249759
-5,20,24.253546
-5,20,24.257323
-5,20,24.263203
-10.0,20,24.269326
-5,20,24.275431
-5,20,24.28014
-5,20,24.283966
-10.0,7,24.311098
-5,20,24.31501
-5,20,24.318801
-5,20,24.322602
-5,20,24.326391
-10.0,18,24.32983
-5,20,24.333633
-10.0,15,24.33667
-10.0,5,24.33771
-10.0,20,24.341496
-10.0,2,24.34197
-5,20,24.345745
-5,20,24.349584
-5,20,24.353386
-5,20,24.357173
-5,20,24.360947
-5,20,24.364723
-5,20,24.368494
-10.0,17,24.371738
-10.0,12,24.374062
-5,20,24.377845
-5,20,24.381618
-10.0,14,24.384317
-5,20,24.38811
-10.0,19,24.391721
-5,20,24.395529
-5,20,24.399332
-5,20,24.403129
-5,20,24.406933
-10.0,9,24.408707
-5,20,24.412506
-5,20,24.416292
-5,20,24.420006
-10.0,5,24.421066
-5,20,24.425654
-5,20,24.429421
-10.0,3,24.430111
-5,20,24.433975
-5,20,24.437991
-5,20,24.441763
-5,20,24.455942
-10.0,9,24.478131
-5,20,24.481946
-5,20,24.490913
-5,20,24.494687
-5,20,24.498459
-5,20,24.502223
-5,20,24.505967
-5,20,24.509706
-5,20,24.51344
-5,20,24.517178
-5,20,24.520918
-10.0,8,24.522504
-5,20,24.526238
-5,20,24.52997
-5,20,24.533748
-5,20,24.537725
-5,20,24.541486
-5,20,24.545249
-10.0,9,24.547045
-10.0,8,24.548629
-5,20,24.593728
-10.0,4,24.594625
-10.0,1,24.594953
-5,20,24.598747
-5,20,24.602475
-5,20,24.6062
-5,20,24.609934
-10.0,10,24.662498
-10.0,3,24.663248
-5,20,24.66708
-10.0,20,24.670919
-5,20,24.674721
-10.0,2,24.67524
-5,20,24.679018
-5,20,24.682787
-10.0,19,24.686337
-5,20,24.690222
-5,20,24.693956
-5,20,24.697697
-10.0,19,24.701292
-5,20,24.705012
-5,20,24.708745
-5,20,24.712466
-5,20,24.716261
-5,20,24.720054
-5,20,24.7238
-5,20,24.727519
-5,20,24.731255
-5,20,24.734993
-5,20,24.738755
-5,20,24.742509
-5,20,24.746237
-5,20,24.750016
-5,20,24.858665
-5,20,24.862606
-5,20,24.86639
-5,20,24.870236
-5,20,24.874048
-5,20,24.877817
-5,20,24.881587
-5,20,24.885338
-5,20,24.889119
-10.0,16,24.892151
-10.0,3,24.892843
-5,20,24.896569
-5,20,24.900308
-5,20,24.904031
-5,20,24.907766
-5,20,24.912383
-5,20,24.916397
-5,20,24.920255
-5,20,24.924037
-10.0,4,24.924886
-5,20,24.928668
-5,20,24.932477
-5,20,24.936263
-5,20,24.940053
-5,20,24.943842
-10.0,8,24.945459
-5,20,24.949257
-10.0,1,24.954759
-10.0,6,24.986176
-5,20,24.990057
-5,20,24.993834
-10.0,8,24.99543
-5,20,24.999202
-5,20,25.002988
-5,20,25.006789
-5,20,25.026242
-5,20,25.030109
-5,20,25.033914
-10.0,16,25.098184
-5,20,25.102014
-5,20,25.106609
-10.0,1,25.106938
-5,20,25.110707
-10.0,7,25.112121
-10.0,12,25.114533
-5,20,25.118325
-5,20,25.122121
-5,20,25.125907
-5,20,25.129688
-5,20,25.133478
-5,20,25.137274
-5,20,25.146349
-5,20,25.150291
-5,20,25.15409
-5,20,25.157876
-5,20,25.161665
-5,20,25.16546
-5,20,25.169253
-10.0,9,25.17102
-10.0,18,25.174448
-5,20,25.178234
-5,20,25.182016
-10.0,1,25.182304
-5,20,25.186079
-5,20,25.189863
-5,20,25.193624
-10.0,2,25.1941
-5,20,25.197863
-10.0,16,25.200923
-5,20,25.204704
-5,20,25.208493
-5,20,25.212277
-5,20,25.216064
-5,20,25.219767
-5,20,25.223563
-5,20,25.227353
-10.0,9,25.229241
-5,20,25.232998
-5,20,25.307983
-5,20,25.311859
-5,20,25.315627
-5,20,25.319434
-5,20,25.323206
-5,20,25.326974
-5,20,25.40785
-5,20,25.411816
-5,20,25.415604
-5,20,25.419376
19.0,2,25.419851
-10.0,17,25.423072
-5,20,25.426836
-5,20,25.430604
-5,20,25.434371
-5,20,25.438142
-5,20,25.549802
-10.0,15,25.552995
-5,20,25.567145
-5,20,25.67595
-5,20,25.679937
-5,20,25.683723
-10.0,1,25.684009
-5,20,25.687793
-5,20,25.691579
-5,20,25.695359
-5,20,25.699176
-5,20,25.702956
-5,20,25.706724
-10.0,7,25.70812
-5,20,25.711899
-5,20,25.715673
-5,20,25.719652
-5,20,25.723444
-5,20,25.727215
-5,20,25.782568
-5,20,25.786382
-5,20,25.79016
-5,20,25.900948
-5,20,25.904917
-5,20,25.908741
-5,20,25.912561
-5,20,25.916339
-10.0,5,25.917409
-5,20,26.026266
-5,20,26.030216
-5,20,26.049578
-5,20,26.161073
-5,20,26.190593
-5,20,26.194465
-10.0,6,26.206038
-10.0,12,26.20839
-5,20,26.212172
-5,20,26.215941
-5,20,26.219825
-5,20,26.314344
-5,20,26.318243
-5,20,26.322029
-5,20,26.325803
-5,20,26.329592
-5,20,26.33337
-5,20,26.337103
-5,20,26.341877
-5,20,26.345684
-5,20,26.349611
-10.0,6,26.350845
-5,20,26.354852
-5,20,26.358624
-5,20,26.362381
-5,20,26.462084
-5,20,26.466186
-5,20,26.469994
-5,20,26.473778
-10.0,1,26.474066
-5,20,26.477854
-5,20,26.48163
-5,20,26.485404
-5,20,26.489176
-5,20,26.492953
-5,20,26.49676
-5,20,26.500579
-5,20,26.504386
-5,20,26.508186
-5,20,26.511985
-5,20,26.515781
-5,20,26.520561
-5,20,26.524365
-5,20,26.528177
-5,20,26.572201
-5,20,26.576072
-5,20,26.579891
-5,20,26.583655
-5,20,26.587421
5.0,16,26.590465
-5,20,26.594375
-5,20,26.598457
-10.0,18,26.601865
-5,20,26.711056
-5,20,26.715057
-10.0,19,26.718848
-10.0,3,26.71951
-10.0,4,26.720358
4.0,17,26.723608
-10.0,16,26.726672
-5,20,26.730486
-5,20,26.734277
-5,20,26.738072
-5,20,26.741866
-5,20,26.745668
-5,20,26.749466
-10.0,3,26.750133
-10.0,4,26.750986
-5,20,26.75481
-5,20,26.75863
-5,20,26.762443
-5,20,26.766259
-5,20,26.770068
-5,20,26.773878
-5,20,26.777691
-5,20,26.781506
-5,20,26.785311
-5,20,26.789119
-5,20,26.792899
-5,20,26.796703
-5,20,26.800497
-5,20,26.8043
-5,20,26.808095
-5,20,26.811901
-5,20,26.815706
-5,20,26.819654
-5,20,26.823444
-5,20,26.827225
-5,20,26.831007
-5,20,26.83479
-5,20,26.83857
-5,20,26.84236
-5,20,26.846153
-5,20,26.925458
-5,20,26.929454
-5,20,26.93326
-10.0,12,26.935585
-10.0,1,26.935873
-10.0,12,26.938222
-5,20,26.942043
-5,20,26.945999
-5,20,26.949815
-5,20,26.953588
-5,20,26.95737
-5,20,26.961141
-10.0,4,26.961987
-5,20,26.965756
-5,20,26.969524
-5,20,26.973301
-5,20,26.977086
-5,20,26.980865
-10.0,2,26.981351
-5,20,26.985133
-10.0,7,26.986528
-5,20,26.990293
-5,20,26.994031
-5,20,26.997807
-10.0,15,27.000664
-5,20,27.111682
-5,20,27.115641
-5,20,27.119403
-5,20,27.123171
-5,20,27.126957
-5,20,27.13072
-5,20,27.134471
-5,20,27.138223
-5,20,27.141973
-10.0,4,27.162669
-5,20,27.271155
-5,20,27.275107
-5,20,27.383065
-5,20,27.386983
-5,20,27.390934
-5,20,27.394661
-5,20,27.398433
-5,20,27.402158
-5,20,27.405884
-5,20,27.409645
-5,20,27.413399
-5,20,27.478498
-5,20,27.482297
-5,20,27.592905
-5,20,27.596866
-5,20,27.600821
-5,20,27.604611
-5,20,27.608387
-5,20,27.612176
-5,20,27.615951
-5,20,27.619653
-10.0,8,27.621241
-5,20,27.625106
-5,20,27.628827
-5,20,27.632835
-5,20,27.636587
-5,20,27.640373
-5,20,27.644168
-10.0,7,27.645628
-5,20,27.649411
-5,20,27.653188
-10.0,16,27.656221
-5,20,27.660009
-5,20,27.66382
-5,20,27.66771
-5,20,27.671524
-10.0,10,27.673565
-5,20,27.677357
-5,20,27.681135
-5,20,27.684902
-5,20,27.688637
-5,20,27.692421
-5,20,27.696204
-5,20,27.700141
-5,20,27.703912
-5,20,27.707646
-10.0,4,27.708513
-5,20,27.712284
-5,20,27.716063
-5,20,27.740671
-5,20,27.779996
-5,20,27.783798
-5,20,27.78763
-5,20,27.791421
-5,20,27.79518
-5,20,27.798928
-5,20,27.802678
-10.0,4,27.80355
-5,20,27.807296
-5,20,27.811236
-5,20,27.922955
-5,20,27.92692
-5,20,28.037613
3.0,18,28.041198
-10.0,15,28.04406
-5,20,28.04785
-5,20,28.051624
-5,20,28.05541
-10.0,20,28.059249
-5,20,28.063161
-5,20,28.066948
-5,20,28.07609
-10.0,13,28.078643
-10.0,17,28.081915
-5,20,28.08587
-5,20,28.089657
-5,20,28.093432
-5,20,28.09717
-5,20,28.1009
-5,20,28.104644
-5,20,28.108515
-10.0,3,28.109362
-10.0,8,28.152095
-10.0,4,28.153023
-5,20,28.203191
-5,20,28.31212
-5,20,28.316047
-5,20,28.320031
-5,20,28.3238
-5,20,28.327555
-5,20,28.332263
-5,20,28.336055
-5,20,28.401953
-10.0,1,28.4023
-5,20,28.406097
-5,20,28.409874
-5,20,28.413665
-5,20,28.417453
-10.0,15,28.420479
-10.0,6,28.421711
-5,20,28.425501
-5,20,28.429279
-5,20,28.433057
-5,20,28.436823
-5,20,28.517583
-5,20,28.521395
-5,20,28.525183
-5,20,28.528959
-5,20,28.53289
-10.0,2,28.543707
-5,20,28.547571
-5,20,28.55136
-5,20,28.555146
-10.0,2,28.555624
-5,20,28.559398
16.0,5,28.560428
-10.0,3,28.561095
-5,20,28.564871
-5,20,28.568645
-5,20,28.679857
-5,20,28.68382
-5,20,28.687782
-5,20,28.786902
-5,20,28.790861
-5,20,28.794659
